                         	alpine sea holly	anthurium	artichoke	azalea	ball moss	balloon flower	barbeton daisy	bearded iris	bee balm	bird of paradise	bishop of llandaff	black-eyed susan	blackberry lily	blanket flower	bolero deep blue	bougainvillea	bromelia	buttercup	californian poppy	camellia	canna lily	canterbury bells	cape flower	carnation	cautleya spicata	clematis	colt's foot	columbine	common dandelion	corn poppy	cyclamen	daffodil	desert-rose	english marigold	fire lily	foxglove	frangipani	fritillary	garden phlox	gaura	gazania	geranium	giant white arum lily	globe thistle	globe-flower	grape hyacinth	great masterwort	hard-leaved pocket orchid	hibiscus	hippeastrum	japanese anemone	king protea	lenten rose	lotus	love in the mist	magnolia	mallow	marigold	mexican aster	mexican petunia	monkshood	moon orchid	morning glory	orange dahlia	osteospermum	oxeye daisy	passion flower	pelargonium	peruvian lily	petunia	pincushion flower	pink primrose	pink-yellow dahlia	poinsettia	primula	prince of wales feathers	purple coneflower	red ginger	rose	ruby-lipped cattleya	siam tulip	silverbush	snapdragon	spear thistle	spring crocus	stemless gentian	sunflower	sweet pea	sweet william	sword lily	thorn apple	tiger lily	toad lily	tree mallow	tree poppy	trumpet creeper	wallflower	water lily	watercress	wild pansy	windflower	yellow iris
bishop of llandaff       	0.0             	4.0      	0.0      	2.0   	1.0      	1.0           	3.0           	0.0         	0.0     	4.0             	19.0              	2.0             	1.0            	0.0           	1.0             	9.0          	0.0     	5.0      	0.0              	5.0     	1.0       	0.0             	4.0        	3.0      	0.0             	0.0     	1.0        	2.0      	2.0             	0.0       	17.0    	2.0     	0.0        	1.0             	3.0      	4.0     	17.0      	4.0       	1.0         	2.0  	0.0    	15.0    	4.0                  	2.0          	2.0         	1.0           	2.0             	2.0                      	5.0     	1.0        	3.0             	0.0        	1.0        	12.0 	0.0             	0.0     	2.0   	0.0     	0.0          	2.0            	2.0      	2.0        	3.0          	3.0          	1.0         	1.0        	4.0           	0.0        	5.0          	6.0    	1.0              	0.0          	2.0               	0.0       	0.0    	0.0                     	1.0              	0.0       	31.0	0.0                 	1.0       	1.0       	2.0       	0.0          	0.0          	1.0             	0.0      	2.0      	0.0          	3.0       	1.0        	3.0       	2.0      	3.0        	0.0       	0.0            	1.0       	13.0      	5.0       	8.0       	0.0       	2.0        
black-eyed susan         	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	1.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	4.0        	0.0      	3.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	6.0       	0.0       	0.0         	0.0  	1.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	4.0  	1.0             	0.0     	0.0   	0.0     	1.0          	0.0            	0.0      	0.0        	0.0          	1.0          	2.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
blackberry lily          	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
blanket flower           	0.0             	2.0      	1.0      	0.0   	0.0      	0.0           	3.0           	0.0         	1.0     	1.0             	0.0               	0.0             	1.0            	0.0           	0.0             	1.0          	0.0     	0.0      	0.0              	0.0     	1.0       	0.0             	0.0        	0.0      	0.0             	1.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	2.0        	2.0             	0.0      	0.0     	2.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	1.0        	0.0        	0.0  	0.0             	0.0     	2.0   	0.0     	0.0          	1.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	1.0           	0.0        	0.0          	3.0    	0.0              	0.0          	3.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	1.0 	0.0                 	1.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	1.0       	1.0       	2.0       	0.0       	0.0        
bolero deep blue         	0.0             	1.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	1.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	1.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	1.0                      	2.0     	0.0        	0.0             	1.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	2.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	2.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	1.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	1.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
bougainvillea            	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	1.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	1.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	2.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
bromelia                 	0.0             	0.0      	1.0      	1.0   	0.0      	0.0           	3.0           	1.0         	0.0     	0.0             	0.0               	0.0             	0.0            	1.0           	0.0             	0.0          	2.0     	0.0      	0.0              	0.0     	0.0       	0.0             	1.0        	0.0      	0.0             	0.0     	0.0        	0.0      	1.0             	0.0       	1.0     	2.0     	0.0        	0.0             	0.0      	2.0     	0.0       	1.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	1.0     	0.0        	0.0             	0.0        	0.0        	1.0  	1.0             	0.0     	0.0   	0.0     	1.0          	0.0            	0.0      	0.0        	1.0          	1.0          	0.0         	0.0        	2.0           	1.0        	0.0          	1.0    	0.0              	0.0          	1.0               	0.0       	0.0    	0.0                     	1.0              	1.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	1.0          	0.0       	1.0        	0.0       	0.0      	1.0        	0.0       	0.0            	0.0       	1.0       	1.0       	0.0       	0.0       	0.0        
buttercup                	0.0             	1.0      	0.0      	1.0   	0.0      	0.0           	2.0           	1.0         	2.0     	1.0             	0.0               	0.0             	1.0            	1.0           	0.0             	2.0          	0.0     	0.0      	0.0              	0.0     	0.0       	1.0             	1.0        	0.0      	0.0             	3.0     	0.0        	0.0      	1.0             	0.0       	0.0     	0.0     	2.0        	1.0             	0.0      	0.0     	1.0       	0.0       	0.0         	0.0  	0.0    	2.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	1.0     	1.0        	0.0             	0.0        	1.0        	3.0  	0.0             	0.0     	0.0   	1.0     	0.0          	0.0            	1.0      	0.0        	3.0          	1.0          	1.0         	0.0        	1.0           	0.0        	1.0          	7.0    	0.0              	2.0          	6.0               	1.0       	2.0    	0.0                     	0.0              	0.0       	1.0 	0.0                 	0.0       	0.0       	0.0       	1.0          	0.0          	0.0             	0.0      	1.0      	0.0          	2.0       	2.0        	1.0       	0.0      	1.0        	0.0       	0.0            	0.0       	3.0       	2.0       	0.0       	2.0       	0.0        
californian poppy        	0.0             	3.0      	0.0      	1.0   	0.0      	2.0           	0.0           	1.0         	5.0     	2.0             	17.0              	7.0             	4.0            	1.0           	0.0             	5.0          	0.0     	13.0     	56.0             	0.0     	3.0       	2.0             	15.0       	2.0      	2.0             	0.0     	4.0        	10.0     	5.0             	6.0       	22.0    	1.0     	4.0        	4.0             	1.0      	7.0     	5.0       	17.0      	2.0         	17.0 	1.0    	5.0     	0.0                  	1.0          	3.0         	10.0          	4.0             	1.0                      	0.0     	0.0        	8.0             	0.0        	2.0        	1.0  	1.0             	0.0     	2.0   	1.0     	0.0          	0.0            	2.0      	0.0        	3.0          	10.0         	2.0         	2.0        	0.0           	6.0        	1.0          	31.0   	8.0              	0.0          	1.0               	0.0       	1.0    	1.0                     	1.0              	0.0       	36.0	0.0                 	0.0       	15.0      	5.0       	1.0          	1.0          	4.0             	0.0      	8.0      	1.0          	2.0       	0.0        	4.0       	6.0      	0.0        	3.0       	0.0            	64.0      	0.0       	2.0       	13.0      	0.0       	1.0        
camellia                 	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
canna lily               	0.0             	1.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	1.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	2.0     	2.0        	0.0             	0.0        	0.0        	2.0  	0.0             	0.0     	1.0   	1.0     	0.0          	1.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	1.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	1.0       	0.0    	0.0                     	1.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	1.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	1.0       	0.0       	0.0       	0.0       	0.0        
canterbury bells         	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
cape flower              	1.0             	3.0      	1.0      	3.0   	2.0      	0.0           	0.0           	0.0         	4.0     	1.0             	3.0               	0.0             	1.0            	1.0           	1.0             	7.0          	0.0     	1.0      	4.0              	3.0     	3.0       	2.0             	6.0        	2.0      	0.0             	1.0     	6.0        	2.0      	5.0             	2.0       	2.0     	3.0     	6.0        	9.0             	0.0      	10.0    	9.0       	5.0       	1.0         	1.0  	0.0    	3.0     	0.0                  	5.0          	3.0         	0.0           	2.0             	2.0                      	4.0     	0.0        	1.0             	0.0        	4.0        	2.0  	4.0             	3.0     	2.0   	2.0     	1.0          	3.0            	1.0      	0.0        	3.0          	4.0          	2.0         	0.0        	1.0           	3.0        	1.0          	17.0   	3.0              	0.0          	3.0               	0.0       	2.0    	1.0                     	2.0              	0.0       	6.0 	1.0                 	0.0       	3.0       	3.0       	2.0          	2.0          	3.0             	0.0      	0.0      	3.0          	4.0       	0.0        	5.0       	1.0      	0.0        	1.0       	0.0            	15.0      	2.0       	8.0       	7.0       	0.0       	0.0        
carnation                	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
